Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,ROHAN KUMAR,5,Worth every penny,Firstly I would like to thanks Flipkart for one day delivery with secure & safe. Its realy awesome phone. I loved it. This is my first IPhone which I have swep from android to ios.  White colour provide premium look. Tea Cup Pic is from IPhone 12,4 months ago
apple-iphone-12-white-128-gb,manojj arora,3,Nice,"An apple fan, I find iPhone 12 light, easier to use than iPhone 11 as is compact in size and weight, display is a little better than iPhone 11, speed is also better and satisfactory. To my disappointment; there was no charger and no earphones in the box. Also the price strategy of apple for its products in india is positioned much higher than the developed countries while it should have been the other way round as the capacity to pay of people of developing nations like india is much lower th...",1 month ago
apple-iphone-12-white-128-gb,Saquib Siddiqui,5,Fabulous!,"The most value for money iPhone of 2021 after the iPhone 12 mini. Flipkart just killed it with their pricing and offers on these iPhones. Would definitely recommend to both iOS and android users. Good enough cameras, nice display with slim and “equal” bezels, overall a really great experience",5 months ago
apple-iphone-12-white-128-gb,Saurabh Gupta,4,Good quality product,"Well I bought this at 67k..using Amex discount! Lucky enough for that. Thanks FK & AmexMow coming to the device and specifically to its camera, its over hyped according to me!I have watched a lot of reviews and all those sweet things about camera and pic quality but there are some caveats.1. Picture gets pixelated when you try to zoom in even after 30 to 40% of actual image 2. Though the device houses the fastest chip across the globe (at the time of release), it still take couple of seco...",6 months ago
apple-iphone-12-white-128-gb,Saurabh Mishra,5,Just wow!,"This is my first iPhone after being an android guy for last 10yr. Main reason for the switch was, having an Macbook and airpod already. So wanted to experience synergy between apple products in its ecosystem. Here is my 2 week review Pros1. Screen Quality is great. My last phone was Oneplus 7, so jump in screen quality was noticeable2. Performance. This phone with iOS feels extremely fluid. The old phone feels not so snappy compared to it. Also, since i have never used a 90Hz display so di...",4 months ago
apple-iphone-12-white-128-gb,girish sonanwane,5,Classy product,"If you are first time ios user u are surely going to miss few things frm android but the sense of security u get frm ios is unquestionable , and about the device its upto the mark the screen is so fluid that u will love it and battery optimisation is also top notch all the games i hv tried run buttery smooth so if u are ready to compromise on some features u can definitely go for it",9 months ago
apple-iphone-12-white-128-gb,Ganesh Andhale,5,Terrific purchase,As always awesome product by Apple and Nice timely and safe delivery by Flipkart.First confused about colour but as compared with others Red does look Royal,9 months ago
apple-iphone-12-white-128-gb,Prasanth,5,Wonderful,"Review after 15 days: Upgraded from iPhone XExcellent phone with amazing battery back up, easily last a day with high usage. Fast charging is also great. Charged 30% to > 80% within 30 mins. Not to mention Camera quality. All iPhone have great camera quality. But upgrading from iPhone X, this phone’s camera quality is even better with better crispness and great in low light. LED screen is pretty awesome. You can get great pictures and videos steaming. Design is pretty awesome. Flat edges...",4 months ago
apple-iphone-12-white-128-gb,Libin Kuruvilla,5,Must buy!,It's maintaining apple's quality as usual. Good phone and compatibility use. The phone is little bit small when compared to other competitive products. There is no outstanding features in this phone when compare to Samsung or one plus. But I'm sure Apple uses must love this phone. The seller is also very good and they keep promising to deliver things on time for meeting Beyond expectations.,10 months ago
apple-iphone-12-white-128-gb,Dikshit Verma,5,Terrific purchase,"Blazing Fast experience with Great Camera quality, light weight and super handy with superb Call quality. Iphone 12 is a Must buy!",4 months ago
apple-iphone-12-white-128-gb,Bhadra g,4,Pretty good,"Delivery is super fast, after using it for 2 weeks, camera quality is superb, very smooth UI, compact and very light weight. 1st week everything was good, but after that auto rotate feature stopped working and eSim calls disconnecting frequently, contacted apple support but issues not yet resolved.",6 months ago
apple-iphone-12-white-128-gb,Prashant  Lade,5,Mind-blowing purchase,"Finally got the most awaited iPhone 12 with favourite white. With this purchase I have now a complete Apple products family range includes MacBook IPad and now iPhone 12. Very easy to initiate after denoting the iPhone as I had migrated all the data quickly with signing in. Well it was a great deal with Flipkart, off course I got the the phone in two days after placing an order.It’s been a few weeks now using iPhone, it’s different experience altogether. Thank you Flipkart n Ekart logistics.",7 months ago
apple-iphone-12-white-128-gb,Mridul Kundu,5,Awesome,"I recently upgraded to the iPhone 12 and I have no regrets. The phone is very sleek, streamlined and svelte looking, especially in the red color, which I prefer.The phone works flawlessly, with great audio and a decent speaker, for voice or music. The text feature, likewise, is extremely easy to use and intuitive. The phone takes excellent pictures, rivaling many stand-alone cameras and equipment, and the panoramic feature is very useful and cool. The other apps work great as well and open q...",3 months ago
